,Time,Raw.EEG,Beta,Alpha,Delta,Theta,Raw.EEG.SEF,Raw.EEG.Median.0_500hz,All.0.5.32.Hz,Raw.EEG.Median.0.5_32hz,Comments,Source_File,time_seconds,noise_time,slurry_time,Total,stun_parameter
1,00:08:35,0.023053977,2.92e-12,3.78e-13,2.94e-12,1.15e-12,300.3977562,51.40805739,1.04e-11,1.689455889,tail,311024_01.csv,515,515,481,34,2.5V
2,00:15:55,0.461550161,7.24e-10,3.23e-10,8.64e-11,1.6e-10,198.1050059,33.36008597,1.65e-09,13.24022827,tail flip,311024_02.csv,955,955,941,14,2.5V
3,00:16:28,0.192779164,5.76e-09,1.48e-09,1.76e-09,1.27e-09,98.83307754,16.70491641,1.33e-08,11.9317751,tail flip,071124_05.csv,988,988,969,19,2.5V
4,00:20:28,0.020925305,5.13e-11,1.77e-11,7.5e-11,1.76e-11,30.25846788,2.911158053,3.3e-10,2.834327918,tail flip ends,240925_97.csv,1228,1228,1190,38,2.5V
5,00:21:25,0.053499463,2.05e-12,6.76e-13,1.95e-11,1.85e-12,2.765673575,1.545122346,5.3e-11,1.537762969,in slurry,230925_94.csv,1285,1285,1279,6,2.5V
6,00:16:35,0.239849652,7.46e-09,4.21e-09,1.56e-08,6.29e-09,30.65178447,4.472795735,5.1e-08,4.284462976,tail flip start,240925_98.csv,995,995,977,18,2.5V
7,00:16:37,0.006413757,3.05e-12,9.18e-13,3.58e-12,3.4e-13,51.51521609,20.59221926,2.36e-11,2.297662421,twitching,150125_17.csv,997,997,932,65,0
8,00:14:40,0.026851015,2.62e-12,9.41e-13,8.92e-11,7.55e-13,2.811610529,1.437959428,3.82e-10,1.643691197,tail flip,200225_19.csv,880,880,786,94,0
9,00:15:39,0.004057327,2.56e-12,8.64e-13,1.69e-13,7.67e-13,51.59955439,49.27997465,5.22e-12,11.92059832,flipping,200225_23.csv,939,939,816,123,0
10,00:13:28,0.003764724,1.03e-12,1.96e-12,7.41e-13,1.71e-12,50.34946462,8.78465833,8.89e-12,8.436519758,tail flip,220225_28.csv,808,808,719,89,0
11,00:11:12,0.044744057,3e-11,1.35e-11,1.19e-10,1.61e-11,11.58125382,1.562956973,3.77e-10,1.607160289,cable out then put back in,030225_30.csv,672,672,605,67,-2.5
12,00:13:11,0.00516978,6.78e-12,3.74e-12,3.26e-12,1.92e-12,27.70634823,11.17953497,2.51e-11,11.62668863,"In slurry ice +2,6degC",030225_32.csv,791,791,623,168,2.5_5
13,00:14:02,0.038493234,4.96e-11,4e-11,4.56e-10,6.95e-11,53.75669117,3.273338559,7.51e-10,3.273338559,In slurry -2.5degC,030225_33_34.csv,842,842,805,37,-2.5
14,00:12:56,0.006718193,1.6e-11,2.18e-12,1.6e-12,5.35e-13,27.82558349,15.87515196,3.07e-11,15.87515196,In slurry -2.4degC,030225_35_36.csv,776,776,715,61,-2.5
15,00:21:40,0.023888571,1.01e-12,4.16e-13,9.4e-12,8.34e-13,51.42354562,1.903283678,1.37e-11,1.55593852,twitching,130225_46a.csv,1300,1300,1243,57,0
16,00:12:19,0.070413647,5.42e-10,2.97e-10,6.36e-10,5.56e-10,46.44832674,6.558685284,3.18e-09,5.388402798,marker2_end,030225_31.csv,739,739,718,21,-2.5
17,00:17:11,0.012604677,1.1e-12,4.52e-13,1.91e-12,3.14e-13,51.49998822,49.99680095,1.45e-11,2.133102338,In slurry +2.3degC,130225_47v2.csv,1031,1031,976,55,2.5_5
18,00:23:28,0.163689043,3.08e-10,1.08e-10,4.73e-10,9.27e-11,54.31144314,4.145408923,1.57e-09,2.977895259,into slurry -2.5,180225_50.csv,1408,1408,1357,51,-2.5
19,00:22:24,0.002916791,1.5e-12,9.93e-13,1.26e-12,2.5e-13,29.16698044,9.317774381,5.57e-12,9.393604435,tail flipping and twitching,180225_51.csv,1344,1344,1174,170,2.5_5
20,00:16:26,0.009988609,2.87e-12,2.2e-12,1.38e-11,1.14e-12,51.20010624,2.890902769,5.1e-11,1.870304255,twitching,240225_61.csv,986,986,832,154,2.5_5
21,00:29:13,0.010099723,9.08e-12,1.3e-12,1.54e-12,2.04e-12,45.80983026,13.90601066,1.84e-11,10.44761293,into slurry 5 degrees,180225_49.csv,1753,1753,1559,194,2.5_5
22,00:09:10,0.166252917,3.04e-12,6.64e-13,2.86e-11,2.08e-12,27.40435752,2.456083906,5.79e-11,2.458527115,in slurry,150125_15.csv,550,550,530,1,3V
23,00:11:52,0.011388787,4.69e-12,1.72e-12,5.55e-11,1.47e-12,71.77572191,2.179924659,8.19e-11,2.078074236,613 in slurry,120624_613_v3.csv,712,712,703,1,3V
24,00:13:20,0.012817037,1.5e-11,6.04e-12,8.64e-12,2.3e-12,104.3673547,25.73826979,1.78e-10,13.13104231,616 in slurry,190624_616.csv,800,800,772,1,3V
25,00:18:19,0.01882541,2.54e-12,4.75e-13,2.67e-11,1.8e-12,46.6098302,1.796012837,5.99e-11,1.824918775,in slurry,180925_92.csv,1099,1099,1067,1,3V
